congressperson_name,congressperson_id,congressperson_document,term,state,party,term_id,subquota_number,subquota_description,subquota_group_id,subquota_group_description,supplier,cnpj_cpf,document_number,document_type,issue_date,document_value,remark_value,total_net_value,month,year,installment,passenger,leg_of_the_trip,batch_number,numbers,total_value,applicant_id,document_id,is_returned,is_meal
VILSON COVATTI,141870.0,516.0,2011.0,RS,PP**,53,13,Congressperson meal,0,,BRUXA'S BURGUER,8435305000138,1734,0,2009-10-20T00:00:00,10.0,0.0,10.0,10,2009,0,,,432336,[None],0.0,1966,1704177,True,True
MARIA LUCIA PRANDI,176794.0,648.0,2011.0,SP,PT,54,13,Congressperson meal,0,,SERVIÇO NACIONAL APRENDIZAGEM COMERCIAL - SENAC,33469172001644,026405,0,2014-05-20T00:00:00,25.37,0.0,25.37,5,2014,0,,,1118772,[None],0.0,2869,5432298,True,True
DOMINGOS DUTRA,74197.0,72.0,2011.0,MA,SD,54,13,Congressperson meal,0,,HOTEL PIRITORO LTDA,7139512000182,5476,0,2014-07-19T00:00:00,147.7,0.0,147.7,7,2014,0,,,1133463,[None],0.0,1003,5485743,True,True
FERNANDO COELHO FILHO,141431.0,158.0,2019.0,PE,DEM,53,13,Congressperson meal,0,,ARSENAL DO CAMARAO,9064222000142,2627,0,2009-10-13T00:00:00,93.0,0.0,93.0,10,2009,0,,,432633,[None],0.0,1833,1705264,True,True
ROBERTO FREIRE,73805.0,546.0,2015.0,SP,PPS,55,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZ. COMERCIAL SENAC,33469172001644,3937,0,2017-05-31T00:00:00,62.9,0.0,62.9,5,2017,0,,,1391564,[None],0.0,116,6300546,True,True
PEDRO NOVAIS,74207.0,82.0,2011.0,MA,PMDB,54,13,Congressperson meal,0,,ABC EMPREENDIMENTOS ALIMENTÍCIOS LTDA,14804798000139,112689,0,2015-01-12T00:00:00,111.0,0.0,111.0,1,2015,0,,,1161857,[None],0.0,611,5585356,True,True
JOÃO MAGALHÃES,74120.0,239.0,2011.0,MG,PMDB,54,13,Congressperson meal,0,,MIRO RESTAURANTE,4777798000648,2389,0,2011-05-09T00:00:00,17.6,0.0,17.6,5,2011,0,,,536444,[None],0.0,1233,2065265,True,True
FLAVINHO,178978.0,357.0,2015.0,SP,PSC,55,13,Congressperson meal,0,,JLM RESTAURANTE LTDA,5202077000320,372734,0,2018-08-08T00:00:00,34.9,0.0,34.9,8,2018,0,,,1522541,[None],0.0,2971,6652208,True,True
JOÃO DADO,73682.0,362.0,2011.0,SP,SD,54,13,Congressperson meal,0,,LOMBARDIA COMERCIAL LTDA,3874046000128,076222,0,2013-07-03T00:00:00,32.56,0.0,32.56,7,2013,0,,,1041597,[None],0.0,1503,5156865,True,True
ADILTON SACHETTI,178903.0,401.0,2015.0,MT,PRB,55,13,Congressperson meal,0,,Starbucks Brasil Comércio de Cafés Ltda.,7984267008607,224353,0,2016-05-09T00:00:00,52.7,0.0,52.7,5,2016,0,,,1300491,[None],0.0,3026,6027824,True,True
MARLLOS SAMPAIO,121759.0,117.0,2011.0,PI,PMDB,54,13,Congressperson meal,0,,NOVO MANGUE II,7638123000100,1677,0,2011-08-22T00:00:00,93.25,0.0,93.25,8,2011,0,,,560456,[None],0.0,2325,2146399,True,True
SIMÃO SESSIM,73424.0,327.0,2015.0,RJ,PP,54,13,Congressperson meal,0,,SENAC,33469172001644,015788,0,2013-05-07T00:00:00,45.2,0.0,45.2,5,2013,0,,,1029357,[None],0.0,184,5109972,True,True
DR. ADILSON SOARES,141371.0,293.0,2011.0,RJ,PR,54,13,Congressperson meal,0,,NATURETTO RESTAURANTE NATURAL LTDA,984060000277,066639,0,2013-04-03T00:00:00,11.65,0.0,11.65,4,2013,0,,,1018701,[None],0.0,1812,5069123,True,True
ZECA DIRCEU,160592.0,468.0,2019.0,PR,PT,55,13,Congressperson meal,0,,MHD SALVADDORI CIA LTDA,4047801000163,43860,4,2018-08-13T00:00:00,31.4,0.0,31.4,8,2018,0,,,1528209,[None],0.0,2238,6667780,True,True
PAULO ROBERTO PEREIRA,141521.0,502.0,2007.0,RS,PTB,53,13,Congressperson meal,0,,NATURETTO RESTAURANTE NATURAL LTDA - ME,984060000277,106252,0,2010-11-23T00:00:00,22.95,0.0,22.95,11,2010,0,,,504968,[None],0.0,1909,1961570,True,True
VANDERLEI MACRIS,141553.0,394.0,2019.0,SP,PSDB,54,13,Congressperson meal,0,,PADARIA E CONFEITARIA ALCANTARA LTDA EPP,61424370000140,605240,0,2014-05-09T00:00:00,31.2,0.0,31.2,5,2014,0,,,1113704,[None],0.0,1947,5414625,True,True
ARACELY DE PAULA,74648.0,223.0,2011.0,MG,PR,53,13,Congressperson meal,0,,JOÃO DA SILVA PRATES,7405700000105,016843,0,2009-10-16T00:00:00,19.0,0.0,19.0,10,2009,0,,,430558,[None],0.0,689,1697926,True,True
LEÔNIDAS CRISTINO,74299.0,96.0,2019.0,CE,PDT,55,13,Congressperson meal,0,,SENAC - COMP. ADM. CAM. DEP. ANEXO IV 10º ANDAR,33469172001644,054077,0,2015-05-25T00:00:00,51.13,0.0,51.13,5,2015,0,,,1195389,[None],0.0,1083,5693399,True,True
VALDIR COLATTO,74010.0,489.0,2015.0,SC,MDB,53,13,Congressperson meal,0,,TOM RAY ALIMENTOS LTDA - ME,7285682000175,001718,0,2009-08-27T00:00:00,67.5,0.0,67.5,8,2009,0,,,420774,[None],0.0,527,1664677,True,True
OLIVEIRA FILHO,73464.0,621.0,2011.0,PR,PRB,54,13,Congressperson meal,0,,SERV. NAC. DE APRENDIZAGEM COMERCIAL - SENAC,33469172001644,078773,0,2015-01-14T00:00:00,27.0,0.0,27.0,1,2015,0,,,1161687,[None],0.0,2821,5584528,True,True
KEIKO OTA,160659.0,356.0,2015.0,SP,PSB,54,13,Congressperson meal,0,,NORI DELIVERY LTDA - ME,5327904000140,031471,0,2013-03-17T00:00:00,54.8,0.0,54.8,3,2013,0,,,1017937,[None],0.0,2261,5066448,True,True
SEVERINO NINHO,167614.0,573.0,2015.0,PE,PSB,54,13,Congressperson meal,0,,BRUNA SARKIS MENMDES ME,5399750000100,000485,0,2012-06-05T00:00:00,11.6,0.0,11.6,6,2012,0,,,616708,[None],0.0,2468,2332057,True,True
SANDRO ALEX,160621.0,465.0,2019.0,PR,PSD,55,13,Congressperson meal,0,,BARU RESTAURANTE LTDA,16955896000526,2949,0,2015-06-09T00:00:00,112.42,0.0,112.42,6,2015,0,,,1200478,[None],0.0,2277,5708375,True,True
LAUDIVIO CARVALHO,178894.0,234.0,2015.0,MG,PODE,55,13,Congressperson meal,0,,RESTAURANTE ALBATROZ,5698368000199,010788,0,2017-01-31T00:00:00,20.9,0.0,20.9,1,2017,0,,,1356650,[None],0.0,2967,6203451,True,True
RAQUEL MUNIZ,178998.0,258.0,2015.0,MG,PSD,55,13,Congressperson meal,0,,PIMENTA VERDE ALIMENTOS LTDA,9060964003972,658229,0,2015-03-30T00:00:00,19.4,0.0,19.4,3,2015,0,,,1178689,[None],0.0,2927,5641204,True,True
PASTOR EURICO,160642.0,155.0,2019.0,PE,PATRI,55,13,Congressperson meal,0,,SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC,33469172000672,25180,4,2018-05-02T00:00:00,32.37,0.0,32.37,5,2018,0,,,1489941,[None],0.0,2264,6567427,True,True
ROBERTO SALES,178944.0,324.0,2015.0,RJ,DEM,55,13,Congressperson meal,0,,FILIPINA DELI COMÉRCIO DE ALIMENTOS LTDA.,5467695000130,875495,0,2015-03-03T00:00:00,22.5,0.0,22.5,3,2015,0,,,1173278,[None],0.0,2988,5623014,True,True
FABRICIO OLIVEIRA,190149.0,552.0,2015.0,SC,PSB,55,13,Congressperson meal,0,,SENAC - CAM. DEP. ANEXO IV 10º ANDAR,33469172001644,064734,0,2015-08-26T00:00:00,47.63,0.0,47.63,8,2015,0,,,1220795,[None],0.0,3124,5773826,True,True
PROFESSORA ROSA NEIDE,204467.0,408.0,2019.0,MT,PT,56,13,Congressperson meal,0,,HOTEL NACIONAL SA,72629140000134,161288,4,2019-02-14T00:00:00,45.1,0.0,45.1,2,2019,0,,,1568270,[None],0.0,3312,6764493,True,True
RENATO MOLLING,141527.0,511.0,2015.0,RS,PP,55,13,Congressperson meal,0,,SERVICO NACIONAL DE APRENDIZ. COM.SENAC,33469172002292,033238,0,2015-04-16T00:00:00,42.9,0.0,42.9,4,2015,0,,,1186577,[None],0.0,1922,5666180,True,True
ELCIONE BARBALHO,74075.0,21.0,2019.0,PA,MDB,55,13,Congressperson meal,0,,DUVAN BAR E RESTAURANTE LTDA,4021583000198,21232,4,2018-02-21T00:00:00,86.0,0.0,86.0,2,2018,0,,,1470266,[None],0.0,1011,6516559,True,True
FÁTIMA PELAES,74065.0,12.0,2011.0,AP,PMDB,54,13,Congressperson meal,0,,TUCUXI BAR R RESTAUTANTE,2229750000165,001233,0,2012-01-27T00:00:00,208.0,0.0,208.0,1,2012,0,,,592100,[None],0.0,565,2251430,True,True
ANTONIO BULHÕES,141383.0,333.0,2015.0,SP,PRB,54,13,Congressperson meal,0,,CHURRASCARIA RECANTO 23 LTDA.,2812278000199,46766,0,2011-10-24T00:00:00,100.0,0.0,100.0,10,2011,0,,,572459,[None],0.0,1782,2187538,True,True
EDUARDO BARBOSA,74655.0,230.0,2019.0,MG,PSDB,53,13,Congressperson meal,0,,URCA ALIMENTOS E BEBIDAS LTDA,9140433000117,021653,0,2011-01-16T00:00:00,39.85,0.0,39.85,1,2011,0,,,514913,[None],0.0,1010,1992564,True,True
RONALDO BENEDET,160515.0,484.0,2015.0,SC,MDB,55,13,Congressperson meal,0,,China House Lanches Ltda. ME,18895747000110,002842,0,2016-10-08T00:00:00,168.5,0.0,168.5,10,2016,0,,,1328780,[None],0.0,2354,6118412,True,True
LÍDICE DA MATA,139285.0,185.0,2019.0,BA,PSB,53,13,Congressperson meal,0,,QUATRO P COMÉRCIO DE ALIMENTOS LTDA.,6274396000575,1914,0,2009-08-18T00:00:00,26.29,0.0,26.29,8,2009,0,,,428925,[None],0.0,161,1692347,True,True
ALBERTO FILHO,160582.0,548.0,2015.0,MA,PP,54,13,Congressperson meal,0,,RESTCON ALIMENTOS LTDA,1603606000184,244798,0,2012-02-27T00:00:00,11.4,0.0,11.4,2,2012,0,,,598588,[None],0.0,2283,2272685,True,True
ROSANGELA GOMES,178945.0,325.0,2019.0,RJ,PRB,55,13,Congressperson meal,0,,FBWM Com Bebidas Alim LTDA,23400452000166,19532,4,2018-11-01T00:00:00,79.2,0.0,79.2,11,2018,0,,,1537374,[None],0.0,3038,6694144,True,True
JORGINHO MELLO,160509.0,476.0,2015.0,SC,PR,55,13,Congressperson meal,0,,SERVIÇO NAC. DE APRENDIZAGEM COMERCIAL - SENAC,33469172000672,205623,0,2016-05-25T00:00:00,23.9,0.0,23.9,5,2016,0,,,1295424,[None],0.0,2391,6012007,True,True
ROBERTO DE LUCENA,160653.0,385.0,2019.0,SP,PODE,54,13,Congressperson meal,0,,CURRASCARIA CHALEIRA PRETA LTDA,53332276000133,018654,0,2012-03-11T00:00:00,122.76,61.06,61.7,3,2012,0,,,598027,[None],0.0,2282,2270830,True,True
JOSÉ NUNES,160619.0,201.0,2019.0,BA,PSD,54,13,Congressperson meal,0,,AL MARE SALVADOR RESTAURANTE LTDA,14045345000176,4079,0,2013-12-12T00:00:00,91.79,0.0,91.79,12,2013,0,,,1081720,[None],0.0,2348,5303639,True,True
ASSIS MELO,160581.0,597.0,2015.0,RS,PCdoB,54,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,33469172001644,010806,0,2013-08-27T00:00:00,90.12,43.56,46.56,8,2013,0,,,1056491,[None],0.0,2279,5213721,True,True
VIEIRA DA CUNHA,141400.0,514.0,2011.0,RS,PDT,54,13,Congressperson meal,0,,PÃO DOURADO IND E COM PROD DE PAN LTDA,11169063000192,176621,0,2011-08-04T00:00:00,10.1,0.0,10.1,8,2011,0,,,556674,[None],0.0,1950,2133777,True,True
CESAR COLNAGO,160664.0,276.0,2011.0,ES,PSDB,54,13,Congressperson meal,0,,GREEN'S COMÉRCIO DE ALIMENTOS LTDA EPP,37124724000157,277260,0,2013-11-05T00:00:00,12.15,1.0,11.15,11,2013,0,,,1074963,[None],0.0,2337,5278635,True,True
JEFFERSON CAMPOS,74273.0,349.0,2019.0,SP,PSB,53,13,Congressperson meal,0,,ELCIO RESTAURANTE,4036977000110,08239,0,2009-11-20T00:00:00,66.0,0.0,66.0,11,2009,0,,,440478,[None],0.0,1669,1732152,True,True
ZECA DIRCEU,160592.0,468.0,2019.0,PR,PT,54,13,Congressperson meal,0,,CHURRASCARIA PAVAN LTDDA,84974468000177,57104,0,2014-02-07T00:00:00,135.3,0.0,135.3,2,2014,0,,,1090700,[None],0.0,2238,5335247,True,True
RENZO BRAZ,160654.0,262.0,2015.0,MG,PP,55,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZ. COMERCIAL SENAC,33469172001644,6275,0,2017-08-30T00:00:00,60.4,0.0,60.4,8,2017,0,,,1421738,[None],0.0,2230,6386333,True,True
VANDERLEI MACRIS,141553.0,394.0,2019.0,SP,PSDB,53,13,Congressperson meal,0,,RED ROOF RESTAURANTES LTDA.,1273052000102,062421,0,2010-04-08T00:00:00,12.37,0.0,12.37,4,2010,0,,,469452,[None],0.0,1947,1830279,True,True
ROGÉRIO PENINHA MENDONÇA,160651.0,483.0,2019.0,SC,MDB,55,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,33469172000672,172,0,2017-02-08T00:00:00,28.0,0.0,28.0,2,2017,0,,,1357180,[None],0.0,2244,6206055,True,True
DR. ADILSON SOARES,141371.0,293.0,2011.0,RJ,PR,54,13,Congressperson meal,0,,BAR E RESTAURANTE LAMPIAO LTDA,34388900000170,087840,0,2012-08-13T00:00:00,52.72,0.0,52.72,8,2012,0,,,636613,[None],0.0,1812,2394891,True,True
MIGUEL MARTINI,141469.0,262.0,2007.0,MG,PHS,53,13,Congressperson meal,0,,SENAC,33469172000672,037460,0,2010-05-18T00:00:00,9.0,0.0,9.0,5,2010,0,,,474935,[None],0.0,1895,1850247,True,True
FRANCISCO FLORIANO,160677.0,297.0,2015.0,RJ,DEM,54,13,Congressperson meal,0,,FOOD E BEER RESTAURANTE,626962000150,110643,0,2013-12-16T00:00:00,23.64,0.0,23.64,12,2013,0,,,1081160,[None],0.0,2267,5302026,True,True
DR. SINVAL MALHEIROS,178830.0,351.0,2015.0,SP,PODE,55,13,Congressperson meal,0,,SERVIÇO NACIONAL DE APRENDIZAGEM COMERCIAL  - SENAC,33469172001644,170340,0,2016-11-24T00:00:00,57.39,0.0,57.39,11,2016,0,,,1339943,[None],0.0,2887,6153350,True,True
ROCHA,178840.0,59.0,2015.0,AC,PSDB,55,13,Congressperson meal,0,,BURGER KING,10,B5206323,3,2018-03-12T00:00:00,74.93,0.0,74.93,3,2018,0,,,1476934,[None],0.0,3048,6533655,True,True
EDINHO BEZ,73793.0,532.0,2015.0,SC,MDB,55,13,Congressperson meal,0,,CASSIMIRO - Almeida Restaurante e choperia LTDA,10657603000114,039043,0,2016-06-06T00:00:00,43.28,0.0,43.28,6,2016,0,,,1298242,[None],0.0,1005,6020553,True,True
LUIZ LAURO FILHO,178982.0,365.0,2015.0,SP,PSB,55,13,Congressperson meal,0,,COCO BAMBU LAGO SUL COMERCIO DE ALIMENTOS LTDA,10542662000147,72043,0,2015-05-19T00:00:00,81.33,0.0,81.33,5,2015,0,,,1200289,[None],0.0,3052,5707766,True,True
SANDRA ROSADO,74039.0,125.0,2011.0,RN,PSB,54,13,Congressperson meal,0,,GLD COMERCIO DE DOCES E SORVETES LTDA-ME,11210248000101,142723,0,2012-01-06T00:00:00,14.7,0.0,14.7,1,2012,0,,,586811,[None],0.0,1689,2233627,True,True
DR. GRILO,160514.0,235.0,2011.0,MG,SD,54,13,Congressperson meal,0,,LACHONETE BROMELIA LTDA,7018032000163,376988,0,2014-07-13T00:00:00,16.9,0.0,16.9,7,2014,0,,,1128010,[None],0.0,2234,5466066,True,True
