congressperson_name,congressperson_id,congressperson_document,term,state,party,term_id,subquota_number,subquota_description,subquota_group_id,subquota_group_description,supplier,cnpj_cpf,document_number,document_type,issue_date,document_value,remark_value,total_net_value,month,year,installment,passenger,leg_of_the_trip,batch_number,numbers,total_value,applicant_id,document_id
RUBENS BUENO,73466.0,460.0,2019.0,PR,PPS,54,3,Fuels and lubricants,1,Veículos Automotores,MARCOS VENICIO SCRIPES,1730893000193,408342,0,2013-09-13T00:00:00,117.67,0.0,117.67,9,2013,0,,,1057805,[nan],0.0,831,5219010
ZEQUINHA MARINHO,73933.0,33.0,2011.0,PA,PSC,53,10,Telecommunication,0,,RAMAL,6,3952334,0,2010-12-10T00:00:00,690.29,0.0,690.29,12,2010,0,,,0,['0'],,1709,0
AFONSO HAMM,136811.0,487.0,2019.0,RS,PP,55,999,Flight ticket issue,0,,Cia Aérea - AZUL,9296295000160,Bilhete: AGVW3U,0,2017-09-06T00:00:00,79.9,0.0,79.9,9,2017,0,AFONSO HAMM,POA/BSB,0,['0'],,1758,1491431
MARIA LUCIA PRANDI,176794.0,648.0,2011.0,SP,PT,54,10,Telecommunication,0,,CELULAR FUNCIONAL,1,5881508,0,2014-11-13T00:00:00,80.42,0.0,80.42,11,2014,0,,,0,['0'],,2869,0
JACKSON BARRETO,77701.0,174.0,2007.0,SE,PMDB,53,11,Postal services,0,,CORREIOS - SEDEX CONVENCIONAL,7,RSP : 1185017,1,2010-12-23T13:30:11,36.85,0.0,36.85,12,2010,0,,,0,['0'],,1665,0
MARCONDES GADELHA,74470.0,561.0,2015.0,PB,PSC,53,3,Fuels and lubricants,1,Veículos Automotores,POSTO NOTA 10,703298000104,300997,0,2010-07-25T00:00:00,117.8,0.0,117.8,7,2010,0,,,489263,[nan],0.0,1321,1904761
ESPERIDIÃO AMIN,160649.0,471.0,2015.0,SC,PP,55,3,Fuels and lubricants,1,Veículos Automotores,AUTO POSTO GT LTDA,7864302000157,966235,0,2016-01-27T00:00:00,166.04,0.0,166.04,1,2016,0,,,1259069,[nan],0.0,2413,5899558
ROMÁRIO,160597.0,319.0,2011.0,RJ,PSB,54,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete: KYH28C,0,2013-09-30T00:00:00,346.94,0.0,346.94,9,2013,0,ROMÁRIO,SDU/BSB,0,['0'],,2287,724307
VALDIR COLATTO,74010.0,489.0,2015.0,SC,MDB,53,3,Fuels and lubricants,1,Veículos Automotores,COMÉRCIO DE COMBUSTÍVEIS CALHANDRA LTDA,7614869000175,039634,0,2009-05-27T00:00:00,79.66,0.0,79.66,5,2009,0,,,400737,[nan],0.0,527,1599255
ANSELMO DE JESUS,73937.0,615.0,2011.0,RO,PT,53,11,Postal services,0,,CORREIOS - ENCOMENDA PAC,7,RSP : 1179704,1,2010-11-30T09:20:53,146.3,0.0,146.3,11,2010,0,,,0,['0'],,1538,0
FLAVINHO,178978.0,357.0,2015.0,SP,PSC,55,1,Maintenance of office supporting parliamentary activity,0,,EDIFICIO SUN TOWER,12071028000107,s071/041,1,2018-08-08T00:00:00,1308.92,109.27,1199.65,8,2018,0,,,1523913,[nan],0.0,2971,6656275
JOSÉ PAULO TÓFFANO,141471.0,378.0,2007.0,SP,PV,53,3,Fuels and lubricants,1,Veículos Automotores,CARREFOUR REVEND DE COMBUSTÍVEIS LTDA,4097687000267,231999,0,2011-01-17T00:00:00,20.0,0.0,20.0,1,2011,0,,,515914,[nan],0.0,1862,1996402
CARLOS MANATO,74163.0,275.0,2015.0,ES,PSL,55,10,Telecommunication,0,,TELEMAR NORTE LESTE S/A,33000118000179,00000101824,0,2015-07-13T00:00:00,112.48,0.0,112.48,7,2015,0,,,1214052,[nan],0.0,1593,5751567
AELTON FREITAS,141372.0,224.0,2015.0,MG,PR,54,999,Flight ticket issue,0,,Cia Aérea - TRIP,2428624000130,Bilhete: 2100164781,0,2011-08-22T00:00:00,616.13,0.0,616.13,8,2011,0,AELTON FREITAS,UBA/BSB,0,['0'],,1773,0
GORETE PEREIRA,129618.0,100.0,2015.0,CE,PR,55,10,Telecommunication,0,,RAMAL,6,6205869,0,,28.36,0.0,28.36,1,2017,0,,,0,['0'],,1737,0
ANTONIO CARLOS MAGALHÃES NETO,74058.0,181.0,2011.0,BA,DEM,54,1,Maintenance of office supporting parliamentary activity,0,,COELBA GRUPO NEOENERGIA,15139629000194,001959042,0,2012-02-15T00:00:00,929.74,0.0,929.74,2,2012,0,,,600607,[nan],0.0,1540,2278733
MARCON,160535.0,507.0,2019.0,RS,PT,55,3,Fuels and lubricants,1,Veículos Automotores,GARAGEM LAITANO LTDA,92692185000160,094140,0,2016-03-05T00:00:00,197.06,0.0,197.06,3,2016,0,,,1272789,[nan],0.0,2241,5941305
EDUARDO CUNHA,74173.0,300.0,2015.0,RJ,MDB,55,10,Telecommunication,0,,OI S.A.,76535764000143,239119,0,2015-03-04T00:00:00,186.23,0.0,186.23,3,2015,0,,,1175075,[nan],0.0,1620,5628991
FÁTIMA PELAES,74065.0,12.0,2011.0,AP,PMDB,54,3,Fuels and lubricants,1,Veículos Automotores,MAX POSTO,9405430000168,022491,0,2011-04-28T00:00:00,100.0,0.0,100.0,4,2011,0,,,535462,[nan],0.0,565,2062434
MOEMA GRAMACHO,178859.0,210.0,2015.0,BA,PT,55,3,Fuels and lubricants,1,Veículos Automotores,Posto da Torre Eirelli EPP,4473193000159,173549,0,2016-11-16T00:00:00,100.0,0.0,100.0,11,2016,0,,,1337570,[nan],0.0,3039,6146249
MAX FILHO,178827.0,282.0,2015.0,ES,PSDB,55,10,Telecommunication,0,,RAMAL,6,5744674,0,,18.72,0.0,18.72,7,2015,0,,,0,['0'],,2877,0
ENIO BACCI,73893.0,493.0,2011.0,RS,PDT,53,11,Postal services,0,,CORREIOS - SEDEX CONVENCIONAL,7,RSP : 1098599,1,2009-09-01T11:37:50,34.86,0.0,34.86,9,2009,0,,,0,['0'],,1018,0
NELSON PELLEGRINO,74571.0,209.0,2019.0,BA,PT,54,13,Congressperson meal,0,,MASTER FOODS SALVADOR LTDA,8561781000286,149037,0,2011-08-24T00:00:00,18.0,0.0,18.0,8,2011,0,,,559667,[nan],0.0,1344,2143829
AMAURI TEIXEIRA,160603.0,184.0,2011.0,BA,PT,54,11,Postal services,0,,CORREIOS - SEDEX CONVENCIONAL,7,RSP : 1266910,1,2012-10-18T14:52:20,31.95,0.0,31.95,10,2012,0,,,0,['0'],,2323,0
ANDRÉ FUFUCA,178882.0,72.0,2019.0,MA,PP,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2002.985443,0,2016-11-22T00:00:00,150.0,0.0,150.0,11,2016,0,ANDRÉ FUFUCA,BSB/BSB,0,['0'],,3079,1381044
MILTON MONTI,74787.0,374.0,2015.0,SP,PR,53,6,Purchase of office supplies,0,,KENMOCHI PRESENTES LTDA - ME,1877643000180,7099,0,2009-04-29T00:00:00,16.95,0.0,16.95,4,2009,0,,,395189,[nan],0.0,1405,1583152
MIGUEL LOMBARDI,178985.0,378.0,2019.0,SP,PR,55,3,Fuels and lubricants,1,Veículos Automotores,CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA,306597007614,34326,0,2017-04-27T00:00:00,70.0,0.0,70.0,4,2017,0,,,1382589,[nan],0.0,2995,6270806
CARLOS MANATO,74163.0,275.0,2015.0,ES,PSL,54,999,Flight ticket issue,0,,Cia Aérea - TRIP,2428624000130,Bilhete: 21018835826,0,2012-03-13T00:00:00,281.47,0.0,281.47,3,2012,0,EDILAYNIA BORGES,BSB/VIX,0,['0'],,1593,0
AFONSO FLORENCE,160508.0,182.0,2019.0,BA,PT,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2125.918324,0,2016-03-04T00:00:00,750.58,0.0,750.58,3,2016,0,AFONSO FLORENCE,SSA/BSB,0,['0'],,2406,1281680
BRUNA FURLAN,160589.0,335.0,2019.0,SP,PSDB,55,11,Postal services,0,,CORREIOS - SEDEX 10,7,RSP : 2119480,1,2015-05-12T13:43:16,55.25,0.0,55.25,5,2015,0,,,0,['0'],,2266,0
RUBENS BUENO,73466.0,460.0,2019.0,PR,PPS,56,122,"Taxi, toll and parking",0,,RODOVIAS INTEGRADAS DO PARANA S/A,2191601000405,2839,1,2019-02-08T00:00:00,15.8,0.0,15.8,2,2019,0,,,1569728,[nan],0.0,831,6767303
EDINHO ARAÚJO,73447.0,344.0,2015.0,SP,MDB,54,1,Maintenance of office supporting parliamentary activity,0,,COP FAC COPIADORA E PAPELARIA,46879391000167,38566,0,2014-11-24T00:00:00,44.7,0.0,44.7,11,2014,0,,,1160552,[nan],0.0,1006,5581138
PEPE VARGAS,141445.0,503.0,2015.0,RS,PT,53,15,Automotive vehicle renting or watercraft charter,0,,CONVIAS S A,2414599000135,SN,1,2011-01-15T00:00:00,6.0,0.0,6.0,1,2011,0,,,517091,[nan],0.0,1911,2000593
JOSÉ PAULO TÓFFANO,141471.0,378.0,2007.0,SP,PV,53,11,Postal services,0,,CORREIOS - CARTA SIMPLES,7,RSP : 1149473,1,2010-05-19T11:56:47,5.15,0.0,5.15,5,2010,0,,,0,['0'],,1862,0
FRANCISCO CHAPADINHA,178907.0,28.0,2015.0,PA,PODE,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2178.601891,0,2018-09-20T00:00:00,1062.47,0.0,1062.47,9,2018,0,FRANCISCO CHAPADINHA,STM/BSB,0,['0'],,2916,1601687
POMPEO DE MATTOS,73486.0,516.0,2019.0,RS,PDT,55,3,Fuels and lubricants,1,Veículos Automotores,ALFA COMERCIO DE COMBUSTIVEIS LTDA,7881468000181,291115,4,2018-01-20T00:00:00,200.0,0.0,200.0,1,2018,0,,,1463457,[nan],0.0,1458,6498575
EDSON PIMENTA,160618.0,193.0,2011.0,BA,PSD,54,8,Security service provided by specialized company,0,,FORÇA BRASIL SEGURANÇA E VIGILÂNCIA LTDA - ME,4185213000196,00000043,0,2014-05-23T00:00:00,4500.0,0.0,4500.0,4,2014,0,,,1116471,[nan],0.0,2351,5424284
JORGINHO MELLO,160509.0,476.0,2015.0,SC,PR,54,10,Telecommunication,0,,CELULAR FUNCIONAL,1,3952527,0,2012-10-01T00:00:00,236.54,0.0,236.54,10,2012,0,,,0,['0'],,2391,0
ZEZÉU RIBEIRO,74145.0,217.0,2011.0,BA,PT,53,14,"Lodging, except for congressperson from Distrito Federal",0,,ALAGOINHAS PLAZA HOTEL,2456583000195,25943,0,2010-03-01T00:00:00,405.0,0.0,405.0,3,2010,0,,,457686,[nan],0.0,1710,1790164
PAULÃO,171617.0,170.0,2019.0,AL,PT,55,3,Fuels and lubricants,1,Veículos Automotores,AUTO POSTO COMENDADOR LTDA,9280520000170,9626,4,2018-04-02T00:00:00,1158.2,0.0,1158.2,3,2018,0,,,1485618,[nan],0.0,2813,6555948
NELSON MEURER,73781.0,458.0,2015.0,PR,PP,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2458.408652,0,2012-11-07T00:00:00,1139.13,0.0,1139.13,11,2012,0,NELSON MEURER,BSB/IGU,0,['0'],,1133,0
JAIME MARTINS,74665.0,240.0,2015.0,MG,PROS,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2138.326510,0,2016-11-09T00:00:00,536.29,0.0,536.29,11,2016,0,JAIME MARTINS,BSB/CNF,0,['0'],,1050,1379240
JOÃO RODRIGUES,160571.0,473.0,2015.0,SC,PSD,55,3,Fuels and lubricants,1,Veículos Automotores,COOPERATIVA REGIONAL ITAIPU,83220723001448,921298,0,2019-01-05T00:00:00,150.35,0.0,150.35,1,2019,0,,,1554696,[nan],0.0,2315,6739556
CAIO NARCIO,178891.0,225.0,2015.0,MG,PSDB,55,122,"Taxi, toll and parking",0,,'CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.,18572225000269,7007071438369133,1,2015-07-31T00:00:00,4.0,0.0,4.0,7,2015,0,,,1223134,[nan],0.0,2990,5781561
PAULO ROCHA,74082.0,30.0,2007.0,PA,PT,53,6,Purchase of office supplies,0,,JR INFORMATICA LTDA,3798529000190,863,0,2009-05-05T00:00:00,80.0,0.0,80.0,5,2009,0,,,395140,[nan],0.0,580,1582938
JURANDY LOUREIRO,141475.0,276.0,2007.0,ES,PSC,53,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Bilhete:,0,2009-05-15T00:00:00,644.42,0.0,644.42,5,2009,0,CHARLES RIBEIRO,VIX/BSB,0,['0'],,1864,0
OSMAR JÚNIOR,141514.0,116.0,2011.0,PI,PCdoB,54,10,Telecommunication,0,,RAMAL,6,5580907,0,,2.46,0.0,2.46,1,2015,0,,,0,['0'],,1900,0
JOÃO BITTAR,141457.0,531.0,2011.0,MG,DEM,53,11,Postal services,0,,CORREIOS - CARTA SIMPLES,7,RSP : 1093665,1,2009-08-10T13:46:56,63.0,0.0,63.0,8,2009,0,,,0,['0'],,1855,0
JEAN WYLLYS,160672.0,307.0,2015.0,RJ,PSOL,54,3,Fuels and lubricants,1,Veículos Automotores,DISTRIBUIDORA BRASÍLIA DE VEÍCULOS S/A,1388000226,391596,0,2014-06-25T00:00:00,100.0,0.0,100.0,6,2014,0,,,1123624,[nan],0.0,2278,5450361
GUILHERME CAMPOS,141447.0,357.0,2011.0,SP,PSD,54,15,Automotive vehicle renting or watercraft charter,0,,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,10647979000148,01938,1,2013-04-05T00:00:00,6.6,0.0,6.6,4,2013,0,,,1022247,[nan],0.0,1846,5082265
LUIZ NOÉ,161962.0,536.0,2011.0,RS,PSB,54,15,Automotive vehicle renting or watercraft charter,0,,SINTAXI - DF,7424109000103,RECIBO S/N,1,2011-08-24T00:00:00,10.0,0.0,10.0,8,2011,0,,,560535,[nan],0.0,2421,2146732
ALBANO FRANCO,141373.0,173.0,2007.0,SE,PSDB,53,11,Postal services,0,,CORREIOS - SEDEX CONVENCIONAL,7,RSP : 1112938,1,2009-11-11T10:47:51,26.05,0.0,26.05,11,2009,0,,,0,['0'],,1774,0
MARCUS PESTANA,159238.0,254.0,2015.0,MG,PSDB,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2114.379326,0,2015-07-15T00:00:00,545.93,0.0,545.93,7,2015,0,MARCUS PESTANA,BSB/CNF,0,['0'],,2390,1066983
PAULO MAGALHÃES,74574.0,538.0,2019.0,BA,PSD,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-4554.244111,0,2016-08-11T00:00:00,130.0,0.0,130.0,8,2016,0,PAULO MAGALHÃES,BSB/BSB,0,['0'],,1347,1351641
ALEXANDRE SILVEIRA,141374.0,225.0,2011.0,MG,PSD,53,11,Postal services,0,,CORREIOS - CARTA SIMPLES,7,RSP : 1089506,1,2009-07-15T15:27:29,1.0,0.0,1.0,7,2009,0,,,0,['0'],,1775,0
MISSIONÁRIO JOSÉ OLIMPIO,160561.0,375.0,2015.0,SP,DEM,54,3,Fuels and lubricants,1,Veículos Automotores,POSTO AVENIDA MARGINAL ITU LTDA,3581094000128,482792,0,2011-10-17T00:00:00,58.01,0.0,58.01,10,2011,0,,,575632,[nan],0.0,2388,2198241
OSMAR TERRA,73692.0,497.0,2019.0,RS,MDB,54,999,Flight ticket issue,0,,Cia Aérea - AVIANCA,2575829000148,Bilhete: 115301384,0,2011-10-05T00:00:00,485.66,0.0,485.66,10,2011,0,ROGERIO NARDELI KOHLRAUSCH,BSB/PFB,0,['0'],,1514,0
PAULO TEIXEIRA,141488.0,376.0,2019.0,SP,PT,53,15,Automotive vehicle renting or watercraft charter,0,,RADIO TAXI ALVORADA LTDA,37990298000134,S/N,1,2009-12-08T00:00:00,27.0,0.0,27.0,12,2009,0,,,442777,[nan],0.0,1910,1739621
VILSON COVATTI,141870.0,516.0,2011.0,RS,PP**,53,15,Automotive vehicle renting or watercraft charter,0,,UNIVIAS,2414599000135,000402798445,1,2009-09-21T00:00:00,6.0,0.0,6.0,9,2009,0,,,427779,[nan],0.0,1966,1688580
JAIME MARTINS,74665.0,240.0,2015.0,MG,PROS,55,11,Postal services,0,,CORREIOS - SEDEX CONVENCIONAL,7,RSP : 2165664,1,2016-06-02T10:56:10,34.36,0.0,34.36,6,2016,0,,,0,['0'],,1050,0
JORGE CÔRTE REAL,160572.0,150.0,2015.0,PE,PTB,55,10,Telecommunication,0,,TIM S/A,2421421000111,000547427-BB,0,2018-12-01T00:00:00,119.98,0.0,119.98,11,2018,0,,,1549756,[nan],0.0,2256,6726479
VANDER LOUBET,74376.0,438.0,2019.0,MS,PT,53,1,Maintenance of office supporting parliamentary activity,0,,BRASIL TELECOM S.A,76535764000143,000134865,0,2009-06-15T00:00:00,1072.12,0.0,1072.12,6,2009,0,,,409583,[nan],0.0,1697,1626080
MIGUEL CORRÊA,141509.0,261.0,2015.0,MG,PT,54,10,Telecommunication,0,,VIVO S.A.,2449992045427,000663729,0,2013-02-15T00:00:00,601.99,0.0,601.99,12,2012,0,,,1011517,[nan],0.0,1894,5043886
MÁRIO HERINGER,74158.0,239.0,2019.0,MG,PDT,55,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2186.460686,0,2018-12-17T00:00:00,980.17,0.0,980.17,12,2018,0,MÁRIO HERINGER,SDU/CNF,0,['0'],,1609,1629127
FRANCISCO FLORIANO,160677.0,297.0,2015.0,RJ,DEM,54,13,Congressperson meal,0,,GRANDVILLE DELIVERY,7290902000159,076212,0,2014-12-09T00:00:00,63.5,0.0,63.5,12,2014,0,,,1155723,[nan],0.0,2267,5565208
JANETE CAPIBERIBE,73926.0,10.0,2015.0,AP,PSB,53,10,Telecommunication,0,,CELULAR FUNCIONAL,1,3952309,0,2010-08-01T00:00:00,767.03,0.0,767.03,8,2010,0,,,0,['0'],,1668,0
ANTONIO BRITO,160553.0,189.0,2019.0,BA,PSD,55,3,Fuels and lubricants,1,Veículos Automotores,POSTO DE COMBUSTIVEIS LTDA. EPP,29102327000156,47138,4,2018-04-06T00:00:00,100.05,0.0,100.05,4,2018,0,,,1483630,[nan],0.0,2407,6550144
SILVIO TORRES,73560.0,391.0,2015.0,SP,PSDB,53,3,Fuels and lubricants,1,Veículos Automotores,AUTO POSTO BANGKOK LTDA,6229344000153,746528,0,2010-11-19T00:00:00,112.6,0.0,112.6,11,2010,0,,,504851,[nan],0.0,1175,1961010
VITOR PENIDO,141557.0,532.0,2011.0,MG,DEM,54,10,Telecommunication,0,,RAMAL,6,5226520,0,,249.32,0.0,249.32,9,2013,0,,,0,['0'],,1953,0
DOMINGOS DUTRA,74197.0,72.0,2011.0,MA,SD,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 9572433767897,0,2011-09-03T00:00:00,717.44,0.0,717.44,9,2011,0,DOMINGOS DUTRA,SLZ/BSB,0,['0'],,1003,0
ALUISIO MENDES,178881.0,68.0,2019.0,MA,PODE,56,3,Fuels and lubricants,1,Veículos Automotores,AUTO POSTO RANCHO LTDA,20974947000100,133881,4,2019-02-22T00:00:00,200.04,0.0,200.04,2,2019,0,,,1572373,[nan],0.0,2999,6775724
JÚLIO DELGADO,73586.0,250.0,2019.0,MG,PSB,55,13,Congressperson meal,0,,VILLA RURAL COMPRAS & LAZER LTDA,65927000100,152152,0,2018-04-05T00:00:00,78.11,0.0,78.11,4,2018,0,,,1484075,[nan],0.0,1480,6551832
MAGDA MOFATTO,166402.0,431.0,2019.0,GO,PR,55,122,"Taxi, toll and parking",0,,SINPETAXI DF,31708000100,2394,1,2016-03-15T00:00:00,45.0,0.0,45.0,3,2016,0,,,1290449,[nan],0.0,2437,5996014
CHRISTIANE DE SOUZA YARED,178928.0,442.0,2019.0,PR,PR,55,999,Flight ticket issue,0,,Cia Aérea - AVIANCA,2575829000148,Bilhete: 2422220280,0,2016-05-04T00:00:00,230.83,0.0,230.83,5,2016,0,CHRISTIANE DE SOUZA YARED,BSB/CWB,0,['0'],,2983,1293318
WALNEY ROCHA,160631.0,535.0,2015.0,RJ,PATRI,55,122,"Taxi, toll and parking",0,,UBER DO BRASIL TECNOLOGIA LTDA.,17895646000187,S/N,1,2017-12-13T00:00:00,9.83,0.0,9.83,12,2017,0,,,1452480,[nan],0.0,2369,6468965
BIFFI,74373.0,432.0,2011.0,MS,PT,54,999,Flight ticket issue,0,,Cia Aérea - AVIANCA,2575829000148,Bilhete: 118106197,0,2012-05-14T00:00:00,196.0,0.0,196.0,5,2012,0,BIFFI,CGR/BSB,0,['0'],,1539,0
RONALDO NOGUEIRA,163321.0,517.0,2015.0,RS,PTB,54,15,Automotive vehicle renting or watercraft charter,0,,CONVIAS S/A,2414599000135,4308S6ICSJ8M,1,2011-05-14T00:00:00,6.0,0.0,6.0,5,2011,0,,,540366,[nan],0.0,2428,2078548
WELLINGTON FAGUNDES,73653.0,406.0,2011.0,MT,PR,54,999,Flight ticket issue,0,,Cia Aérea - TAM,2012862000160,Bilhete: 957-2456.456441,0,2012-10-08T00:00:00,700.13,0.0,700.13,10,2012,0,WELLINGTON FAGUNDES,BSB/CGB,0,['0'],,786,0
JORGE TADEU MUDALEN,73535.0,363.0,2015.0,SP,DEM,55,122,"Taxi, toll and parking",0,,CONC. RODOVIA DO OESTE DE SÃO PAULO S/A,2415408000150,147385,0,2018-06-16T00:00:00,4.1,0.0,4.1,6,2018,0,,,1506822,[nan],0.0,763,6609957
WALDIR MARANHÃO,141558.0,84.0,2015.0,MA,PSDB,55,999,Flight ticket issue,0,,Cia Aérea - GOL,7575651000159,Comp-XDMPMV,0,2016-03-07T00:00:00,-462.58,0.0,-462.58,3,2016,0,WALDIR MARANHÃO,BSB/BSB,0,['0'],,1954,1274365
